Exposure_ID,Counterparty_ID,Product_Type,OBS_Category,Exposure_Amount,CCF_Category,Risk_Weight_Applied,Structuring_Strategy,Collateral_Type,Collateral_Value,Guarantee_Provider,Netting_Agreement,CCF_Source,Basel_Asset_Class,Internal_Rating,Currency,Jurisdiction,Maturity_Months,Reporting_Date,Regulatory_CCF_Applied,EAD,RWA
140,472,Trade Finance,Undrawn Commitment,283103,100%,0.75,Netting,Cash,624913,Sovereign Guarantee,No,Standardized,Sovereign,BB,EUR,Greece,89,2024-12-29,1.0,283103.0,212327.25
141,63,Commitment,Derivative Exposure,1032599,20%,0.75,Unstructured,Securities,472617,Sovereign Guarantee,Yes,Standardized,Corporate,CCC,GBP,Greece,9,2020-12-09,0.2,206519.80000000002,154889.85
142,139,Trade Finance,Undrawn Commitment,465872,50%,0.2,Guarantee-Enhanced,Cash,917999,None,No,Internal Model,Sovereign,AAA,GBP,Germany,3,2020-07-12,0.5,232936.0,46587.200000000004
143,499,Commitment,Undrawn Commitment,105147,100%,0.75,Guarantee-Enhanced,Securities,831187,None,Yes,Standardized,Corporate,CCC,EUR,Cyprus,90,2020-06-06,1.0,105147.0,78860.25
144,593,Securitization,Other OBS,1714260,50%,0.5,Netting,Cash,985188,Corporate Guarantee,Yes,Standardized,Retail,AA,GBP,Greece,48,2021-04-09,0.5,857130.0,428565.0
145,392,Commitment,Performance Guarantee,492882,100%,0.75,Guarantee-Enhanced,Securities,33324,Corporate Guarantee,No,Standardized,Sovereign,BB,GBP,Greece,43,2020-04-13,1.0,492882.0,369661.5
146,675,Derivative,Derivative Exposure,525584,50%,0.5,Unstructured,None,865361,None,Yes,Internal Model,Bank,AAA,EUR,Greece,91,2020-02-03,0.5,262792.0,131396.0
147,419,Derivative,Undrawn Commitment,350931,50%,0.75,Unstructured,Cash,394768,Sovereign Guarantee,No,Internal Model,Retail,CCC,EUR,Germany,100,2023-01-30,0.5,175465.5,131599.125
148,289,Derivative,Undrawn Commitment,294839,20%,1.0,Netting,Cash,51272,Corporate Guarantee,No,Internal Model,Bank,CCC,USD,Greece,96,2021-09-30,0.2,58967.8,58967.8
149,379,Derivative,Derivative Exposure,506162,20%,1.0,Unstructured,Cash,429069,None,Yes,Standardized,Bank,CCC,EUR,Cyprus,1,2024-10-15,0.2,101232.40000000001,101232.40000000001
150,773,Trade Finance,Undrawn Commitment,596015,75%,0.2,Guarantee-Enhanced,Cash,249264,None,Yes,Standardized,Bank,B,GBP,Germany,57,2020-11-20,0.75,447011.25,89402.25
151,490,Securitization,Other OBS,1862287,50%,0.75,Collateralized,None,688284,Sovereign Guarantee,Yes,Standardized,Retail,AAA,EUR,Cyprus,53,2025-05-21,0.5,931143.5,698357.625
152,231,Commitment,Other OBS,1193657,50%,0.5,Guarantee-Enhanced,Cash,860894,None,Yes,Standardized,Retail,CCC,EUR,Greece,118,2025-01-05,0.5,596828.5,298414.25
153,41,Commitment,Other OBS,1483441,50%,0.5,Collateralized,Property,751747,None,Yes,Standardized,Sovereign,B,EUR,Greece,16,2021-11-21,0.5,741720.5,370860.25
154,28,Derivative,Other OBS,1863994,50%,0.75,Netting,None,679249,Corporate Guarantee,No,Internal Model,Bank,A,USD,Cyprus,51,2021-08-14,0.5,931997.0,698997.75
155,135,Derivative,Undrawn Commitment,1690920,100%,0.5,Collateralized,Property,236538,None,Yes,Standardized,Corporate,BB,USD,Germany,112,2020-05-20,1.0,1690920.0,845460.0
156,201,Guarantee,Derivative Exposure,1757017,100%,1.0,Unstructured,Cash,578963,None,No,Internal Model,Sovereign,CCC,GBP,Germany,75,2021-04-18,1.0,1757017.0,1757017.0
157,840,Securitization,Derivative Exposure,739556,50%,0.5,Guarantee-Enhanced,Securities,515447,Corporate Guarantee,Yes,Standardized,Retail,AAA,USD,Cyprus,90,2022-11-20,0.5,369778.0,184889.0
158,780,Trade Finance,Derivative Exposure,742095,75%,0.2,Collateralized,Property,73591,Sovereign Guarantee,Yes,Internal Model,Corporate,B,EUR,Greece,104,2022-06-02,0.75,556571.25,111314.25
159,930,Commitment,Derivative Exposure,810109,75%,1.0,Guarantee-Enhanced,Cash,463406,Sovereign Guarantee,Yes,Internal Model,Retail,B,USD,UK,55,2025-05-12,0.75,607581.75,607581.75
160,33,Guarantee,Performance Guarantee,1178678,50%,1.0,Netting,Property,153706,Corporate Guarantee,No,Internal Model,Corporate,A,EUR,Cyprus,1,2020-03-03,0.5,589339.0,589339.0
161,48,Guarantee,Derivative Exposure,1047082,100%,1.0,Netting,Cash,294507,Corporate Guarantee,Yes,Internal Model,Sovereign,BBB,USD,Cyprus,90,2024-05-02,1.0,1047082.0,1047082.0
162,503,Commitment,Performance Guarantee,206570,20%,0.75,Unstructured,Cash,194824,Sovereign Guarantee,No,Standardized,Corporate,BB,USD,Cyprus,28,2023-01-15,0.2,41314.0,30985.5
163,407,Trade Finance,Performance Guarantee,1699729,20%,0.75,Netting,Cash,339148,Sovereign Guarantee,No,Standardized,Sovereign,BBB,USD,Greece,53,2020-10-30,0.2,339945.80000000005,254959.35000000003
164,574,Guarantee,Other OBS,1785592,100%,1.0,Collateralized,Securities,973902,Sovereign Guarantee,No,Standardized,Retail,AAA,EUR,Germany,58,2022-12-20,1.0,1785592.0,1785592.0
165,728,Guarantee,Performance Guarantee,1166271,50%,0.75,Netting,Property,753818,Sovereign Guarantee,Yes,Internal Model,Corporate,BB,USD,Greece,73,2021-01-30,0.5,583135.5,437351.625
166,805,Securitization,Undrawn Commitment,481116,75%,0.5,Unstructured,None,827150,Sovereign Guarantee,No,Standardized,Bank,A,EUR,Cyprus,60,2020-11-29,0.75,360837.0,180418.5
167,99,Trade Finance,Performance Guarantee,571608,100%,0.75,Guarantee-Enhanced,None,113627,Corporate Guarantee,Yes,Standardized,Bank,AAA,EUR,Greece,59,2025-05-29,1.0,571608.0,428706.0
168,684,Guarantee,Other OBS,167235,0%,0.75,Guarantee-Enhanced,None,738276,None,No,Standardized,Retail,BB,GBP,Greece,108,2022-02-24,0.0,0.0,0.0
169,872,Trade Finance,Performance Guarantee,1052403,100%,1.0,Netting,None,289014,Sovereign Guarantee,Yes,Standardized,Corporate,BB,USD,Cyprus,22,2021-02-14,1.0,1052403.0,1052403.0
170,726,Commitment,Undrawn Commitment,1539493,50%,0.2,Collateralized,Cash,37394,Sovereign Guarantee,No,Internal Model,Bank,BBB,GBP,Greece,8,2020-10-10,0.5,769746.5,153949.30000000002
171,987,Derivative,Undrawn Commitment,1731641,50%,0.2,Unstructured,Property,838489,None,Yes,Internal Model,Sovereign,AAA,GBP,UK,49,2021-04-10,0.5,865820.5,173164.1
172,547,Guarantee,Undrawn Commitment,1117609,75%,0.2,Collateralized,Property,79795,None,Yes,Standardized,Corporate,A,EUR,Greece,42,2020-03-20,0.75,838206.75,167641.35
173,961,Securitization,Other OBS,566409,100%,0.5,Unstructured,Securities,342553,None,Yes,Standardized,Corporate,A,USD,Greece,27,2024-09-11,1.0,566409.0,283204.5
174,739,Commitment,Other OBS,716165,0%,0.75,Netting,Property,799448,None,No,Standardized,Bank,AAA,EUR,Germany,39,2022-02-22,0.0,0.0,0.0
175,613,Trade Finance,Derivative Exposure,741211,50%,0.2,Unstructured,Property,42137,None,No,Internal Model,Sovereign,AAA,EUR,Germany,83,2023-01-05,0.5,370605.5,74121.1
176,943,Commitment,Other OBS,601120,75%,1.0,Unstructured,Property,393369,None,Yes,Internal Model,Sovereign,B,USD,Cyprus,25,2025-05-31,0.75,450840.0,450840.0
177,462,Guarantee,Undrawn Commitment,1293085,75%,0.2,Netting,Securities,138925,Corporate Guarantee,No,Internal Model,Sovereign,AA,EUR,Cyprus,38,2022-01-02,0.75,969813.75,193962.75
178,643,Trade Finance,Undrawn Commitment,1476445,75%,0.2,Collateralized,None,536667,None,No,Standardized,Corporate,BBB,USD,Germany,85,2025-04-12,0.75,1107333.75,221466.75
179,769,Derivative,Other OBS,195016,20%,0.75,Netting,Property,933296,None,No,Internal Model,Retail,AAA,USD,UK,24,2024-12-22,0.2,39003.200000000004,29252.4
180,5,Commitment,Performance Guarantee,332017,20%,0.75,Unstructured,Securities,121169,Corporate Guarantee,No,Internal Model,Corporate,AAA,EUR,Greece,24,2024-04-12,0.2,66403.40000000001,49802.55
181,218,Guarantee,Other OBS,1663236,50%,0.75,Netting,Securities,169439,None,No,Internal Model,Corporate,AA,EUR,UK,60,2023-10-16,0.5,831618.0,623713.5
182,503,Securitization,Other OBS,1188040,75%,0.5,Unstructured,Cash,149172,Sovereign Guarantee,No,Internal Model,Bank,AA,GBP,UK,83,2020-03-17,0.75,891030.0,445515.0
183,767,Trade Finance,Undrawn Commitment,720739,20%,0.5,Netting,Securities,650370,Sovereign Guarantee,No,Internal Model,Retail,BB,EUR,Germany,50,2021-05-23,0.2,144147.80000000002,72073.90000000001
184,398,Commitment,Derivative Exposure,1215898,20%,0.2,Guarantee-Enhanced,None,375233,None,Yes,Standardized,Sovereign,CCC,USD,Cyprus,111,2023-04-02,0.2,243179.6,48635.920000000006
185,871,Commitment,Undrawn Commitment,1790687,100%,0.75,Guarantee-Enhanced,Property,980960,Corporate Guarantee,Yes,Standardized,Bank,A,GBP,Greece,66,2022-10-29,1.0,1790687.0,1343015.25
186,795,Derivative,Derivative Exposure,1985090,0%,0.2,Netting,Securities,535337,Sovereign Guarantee,No,Standardized,Corporate,BBB,USD,Cyprus,14,2023-04-13,0.0,0.0,0.0
187,393,Derivative,Undrawn Commitment,795182,100%,1.0,Collateralized,None,394002,Corporate Guarantee,Yes,Standardized,Retail,BB,GBP,UK,53,2021-04-06,1.0,795182.0,795182.0
188,207,Securitization,Other OBS,1890118,75%,1.0,Unstructured,Securities,463120,Sovereign Guarantee,Yes,Internal Model,Sovereign,AAA,EUR,UK,32,2023-08-23,0.75,1417588.5,1417588.5
189,15,Securitization,Undrawn Commitment,497557,75%,0.75,Guarantee-Enhanced,Securities,686059,None,Yes,Standardized,Sovereign,AA,EUR,Cyprus,106,2024-05-30,0.75,373167.75,279875.8125
190,858,Guarantee,Undrawn Commitment,848519,20%,0.75,Collateralized,Securities,909216,Corporate Guarantee,No,Standardized,Corporate,B,EUR,Cyprus,96,2020-09-01,0.2,169703.80000000002,127277.85
191,554,Guarantee,Undrawn Commitment,466978,0%,1.0,Unstructured,Securities,834123,Corporate Guarantee,No,Standardized,Sovereign,A,USD,Germany,92,2020-05-01,0.0,0.0,0.0
192,892,Securitization,Other OBS,1083316,75%,0.75,Guarantee-Enhanced,Securities,168112,Corporate Guarantee,No,Internal Model,Sovereign,BB,GBP,Cyprus,48,2020-07-03,0.75,812487.0,609365.25
193,461,Securitization,Other OBS,919049,75%,0.5,Guarantee-Enhanced,None,773815,Sovereign Guarantee,No,Standardized,Retail,B,USD,Cyprus,39,2020-02-01,0.75,689286.75,344643.375
194,691,Trade Finance,Other OBS,674771,75%,0.5,Netting,Property,224062,Sovereign Guarantee,No,Internal Model,Bank,A,GBP,Germany,40,2022-09-24,0.75,506078.25,253039.125
195,575,Derivative,Other OBS,573886,20%,0.75,Unstructured,Property,57986,Sovereign Guarantee,Yes,Internal Model,Retail,CCC,EUR,Cyprus,42,2025-06-09,0.2,114777.20000000001,86082.90000000001
196,864,Guarantee,Derivative Exposure,1632460,75%,1.0,Collateralized,Property,431978,None,No,Internal Model,Bank,CCC,USD,UK,111,2022-01-31,0.75,1224345.0,1224345.0
197,743,Derivative,Derivative Exposure,1333203,75%,0.2,Collateralized,Property,678960,Sovereign Guarantee,Yes,Standardized,Bank,B,EUR,Cyprus,104,2021-07-22,0.75,999902.25,199980.45
198,241,Derivative,Performance Guarantee,1730403,75%,0.75,Collateralized,None,356918,None,No,Internal Model,Bank,AA,USD,Greece,77,2020-11-05,0.75,1297802.25,973351.6875
199,564,Securitization,Other OBS,592601,75%,0.75,Unstructured,Cash,746137,Corporate Guarantee,Yes,Standardized,Sovereign,BB,EUR,UK,76,2023-10-27,0.75,444450.75,333338.0625
200,96,Trade Finance,Derivative Exposure,1998183,75%,0.2,Collateralized,Cash,937314,Corporate Guarantee,No,Standardized,Retail,BB,USD,Germany,8,2024-08-06,0.75,1498637.25,299727.45
201,900,Commitment,Undrawn Commitment,1820485,75%,0.75,Collateralized,None,741063,None,No,Standardized,Sovereign,CCC,USD,UK,79,2022-04-09,0.75,1365363.75,1024022.8125
202,734,Trade Finance,Other OBS,1213490,0%,0.2,Collateralized,None,105315,Sovereign Guarantee,No,Internal Model,Corporate,A,GBP,Germany,26,2024-06-07,0.0,0.0,0.0
203,485,Trade Finance,Performance Guarantee,597993,50%,1.0,Netting,Securities,319348,None,No,Internal Model,Retail,B,EUR,Greece,12,2022-09-18,0.5,298996.5,298996.5
204,407,Derivative,Performance Guarantee,1821300,0%,0.5,Netting,Securities,282229,Corporate Guarantee,No,Standardized,Bank,AA,GBP,Greece,43,2022-12-15,0.0,0.0,0.0
205,231,Trade Finance,Performance Guarantee,1958453,50%,1.0,Unstructured,Securities,702214,Corporate Guarantee,No,Internal Model,Sovereign,AAA,GBP,UK,51,2022-03-01,0.5,979226.5,979226.5
206,749,Guarantee,Undrawn Commitment,153892,50%,0.5,Unstructured,Property,468013,None,Yes,Internal Model,Sovereign,BB,EUR,Cyprus,110,2023-07-20,0.5,76946.0,38473.0
207,655,Derivative,Derivative Exposure,1832581,0%,0.2,Collateralized,Securities,739629,Sovereign Guarantee,No,Internal Model,Retail,AAA,USD,UK,91,2021-04-08,0.0,0.0,0.0
208,171,Guarantee,Undrawn Commitment,1362743,50%,0.5,Netting,Cash,695139,Sovereign Guarantee,Yes,Standardized,Retail,AA,GBP,UK,82,2021-11-08,0.5,681371.5,340685.75
209,541,Commitment,Other OBS,693942,20%,1.0,Guarantee-Enhanced,Property,711567,None,No,Internal Model,Bank,CCC,EUR,Greece,109,2024-01-19,0.2,138788.4,138788.4
210,36,Derivative,Performance Guarantee,1289444,75%,0.5,Guarantee-Enhanced,Securities,225687,None,Yes,Internal Model,Bank,BB,USD,Germany,100,2022-09-05,0.75,967083.0,483541.5
211,525,Commitment,Undrawn Commitment,1178649,100%,0.2,Collateralized,Property,296124,Sovereign Guarantee,Yes,Standardized,Corporate,BB,GBP,UK,63,2021-10-31,1.0,1178649.0,235729.80000000002
212,160,Derivative,Undrawn Commitment,1977205,0%,0.5,Collateralized,Cash,842549,Corporate Guarantee,Yes,Internal Model,Bank,B,GBP,Cyprus,49,2023-06-26,0.0,0.0,0.0
213,839,Securitization,Derivative Exposure,1687293,100%,0.75,Netting,Securities,145213,None,Yes,Standardized,Sovereign,AAA,GBP,Greece,115,2021-11-28,1.0,1687293.0,1265469.75
214,699,Trade Finance,Derivative Exposure,154195,50%,1.0,Netting,Cash,664704,Sovereign Guarantee,Yes,Internal Model,Corporate,CCC,USD,UK,27,2022-09-20,0.5,77097.5,77097.5
215,243,Securitization,Performance Guarantee,766987,20%,0.75,Netting,Cash,15896,Sovereign Guarantee,Yes,Internal Model,Corporate,B,GBP,UK,9,2020-03-18,0.2,153397.4,115048.04999999999
216,86,Commitment,Undrawn Commitment,1132424,0%,0.2,Unstructured,Cash,89353,Corporate Guarantee,No,Internal Model,Corporate,BBB,USD,Cyprus,119,2021-06-17,0.0,0.0,0.0
217,796,Trade Finance,Undrawn Commitment,982883,50%,0.5,Unstructured,Securities,29813,Corporate Guarantee,Yes,Internal Model,Retail,AAA,GBP,UK,39,2020-04-17,0.5,491441.5,245720.75
218,578,Derivative,Derivative Exposure,1388486,75%,0.75,Collateralized,None,739791,Corporate Guarantee,No,Internal Model,Bank,AAA,EUR,UK,65,2023-07-20,0.75,1041364.5,781023.375
219,682,Trade Finance,Undrawn Commitment,1076630,75%,0.75,Unstructured,Securities,65679,Corporate Guarantee,No,Internal Model,Corporate,BBB,GBP,UK,71,2022-02-02,0.75,807472.5,605604.375
220,557,Guarantee,Undrawn Commitment,118099,0%,0.5,Netting,Cash,666041,Corporate Guarantee,Yes,Standardized,Retail,AA,EUR,UK,90,2020-01-15,0.0,0.0,0.0
221,574,Trade Finance,Undrawn Commitment,1527852,0%,0.5,Netting,Securities,728263,None,Yes,Internal Model,Retail,AA,EUR,Cyprus,71,2021-01-04,0.0,0.0,0.0
222,953,Guarantee,Derivative Exposure,1062237,50%,1.0,Unstructured,Cash,789660,Sovereign Guarantee,No,Internal Model,Corporate,BB,EUR,UK,116,2023-08-20,0.5,531118.5,531118.5
223,646,Trade Finance,Performance Guarantee,1167698,20%,0.75,Guarantee-Enhanced,None,397798,None,Yes,Internal Model,Corporate,A,USD,UK,7,2024-08-22,0.2,233539.6,175154.7
224,796,Guarantee,Other OBS,1770023,20%,0.75,Collateralized,Property,209755,None,Yes,Standardized,Sovereign,B,EUR,UK,72,2020-07-23,0.2,354004.60000000003,265503.45
225,28,Commitment,Performance Guarantee,623156,20%,0.2,Guarantee-Enhanced,None,273541,None,Yes,Standardized,Corporate,A,GBP,Greece,80,2023-02-10,0.2,124631.20000000001,24926.240000000005
226,620,Securitization,Other OBS,1741983,75%,1.0,Collateralized,None,956303,None,Yes,Standardized,Sovereign,BB,USD,Cyprus,67,2024-08-30,0.75,1306487.25,1306487.25
227,556,Derivative,Undrawn Commitment,1515017,100%,0.2,Guarantee-Enhanced,Property,299155,None,Yes,Internal Model,Corporate,A,EUR,Greece,109,2022-05-14,1.0,1515017.0,303003.4
228,340,Trade Finance,Performance Guarantee,1980294,50%,0.75,Unstructured,Securities,603471,Corporate Guarantee,Yes,Internal Model,Corporate,AAA,USD,Greece,10,2023-06-30,0.5,990147.0,742610.25
229,798,Securitization,Other OBS,1367363,100%,0.2,Collateralized,Property,355398,Corporate Guarantee,Yes,Standardized,Bank,AAA,USD,Cyprus,114,2021-03-16,1.0,1367363.0,273472.60000000003
230,958,Derivative,Derivative Exposure,536275,50%,0.75,Collateralized,Securities,437480,Sovereign Guarantee,No,Standardized,Corporate,BBB,USD,Greece,71,2023-04-24,0.5,268137.5,201103.125
231,331,Derivative,Derivative Exposure,348871,50%,0.75,Collateralized,Securities,566605,None,Yes,Standardized,Corporate,BBB,GBP,Greece,85,2022-05-08,0.5,174435.5,130826.625
232,640,Guarantee,Performance Guarantee,1207655,20%,0.2,Netting,Cash,178986,Sovereign Guarantee,No,Internal Model,Sovereign,BB,EUR,Greece,53,2020-08-14,0.2,241531.0,48306.200000000004
233,506,Commitment,Performance Guarantee,902129,75%,0.2,Netting,Cash,215705,Corporate Guarantee,No,Standardized,Sovereign,BB,USD,Cyprus,101,2021-06-11,0.75,676596.75,135319.35
234,348,Commitment,Undrawn Commitment,1114605,100%,0.5,Guarantee-Enhanced,Property,888921,Corporate Guarantee,No,Internal Model,Bank,CCC,USD,UK,95,2024-08-18,1.0,1114605.0,557302.5
235,473,Securitization,Performance Guarantee,1344929,75%,0.5,Unstructured,None,700614,Corporate Guarantee,No,Internal Model,Corporate,BB,USD,Germany,87,2020-12-19,0.75,1008696.75,504348.375
236,231,Commitment,Undrawn Commitment,457442,50%,0.5,Netting,Property,302240,None,Yes,Internal Model,Corporate,AAA,EUR,Germany,57,2021-09-14,0.5,228721.0,114360.5
237,190,Trade Finance,Undrawn Commitment,1293294,75%,0.75,Collateralized,Securities,315929,None,No,Standardized,Sovereign,A,USD,Cyprus,91,2022-10-21,0.75,969970.5,727477.875
238,225,Commitment,Derivative Exposure,1520523,20%,0.2,Netting,Cash,52344,Corporate Guarantee,No,Internal Model,Retail,B,USD,Germany,86,2024-04-25,0.2,304104.60000000003,60820.92000000001
239,385,Securitization,Derivative Exposure,1470178,100%,1.0,Unstructured,Property,770348,Sovereign Guarantee,No,Standardized,Retail,CCC,GBP,Cyprus,103,2024-05-02,1.0,1470178.0,1470178.0
240,377,Commitment,Other OBS,946816,50%,0.75,Netting,Property,475859,Sovereign Guarantee,No,Standardized,Retail,CCC,EUR,Cyprus,27,2022-07-15,0.5,473408.0,355056.0
241,283,Trade Finance,Derivative Exposure,1167502,50%,1.0,Collateralized,Cash,906814,Corporate Guarantee,No,Standardized,Sovereign,CCC,GBP,Germany,54,2023-12-14,0.5,583751.0,583751.0
242,958,Guarantee,Derivative Exposure,1759933,50%,0.2,Guarantee-Enhanced,Cash,723906,Sovereign Guarantee,Yes,Standardized,Sovereign,BB,EUR,Greece,113,2024-07-01,0.5,879966.5,175993.30000000002
243,633,Securitization,Performance Guarantee,367650,75%,0.75,Collateralized,Cash,988595,Corporate Guarantee,Yes,Internal Model,Retail,BB,EUR,UK,4,2023-03-30,0.75,275737.5,206803.125
244,628,Guarantee,Derivative Exposure,1963237,0%,1.0,Unstructured,Securities,458819,Sovereign Guarantee,No,Internal Model,Retail,AAA,EUR,Germany,88,2020-06-09,0.0,0.0,0.0
245,973,Guarantee,Other OBS,493031,75%,1.0,Guarantee-Enhanced,Cash,159484,Corporate Guarantee,Yes,Internal Model,Corporate,B,GBP,Germany,23,2022-05-20,0.75,369773.25,369773.25
246,745,Guarantee,Performance Guarantee,1140668,20%,0.5,Netting,None,110489,Sovereign Guarantee,Yes,Internal Model,Sovereign,AAA,GBP,Germany,48,2023-02-25,0.2,228133.6,114066.8
247,259,Derivative,Other OBS,1423259,75%,0.5,Netting,Property,444874,None,No,Standardized,Sovereign,B,GBP,Germany,83,2024-10-11,0.75,1067444.25,533722.125
248,359,Derivative,Derivative Exposure,1033581,75%,0.5,Netting,Cash,493057,Corporate Guarantee,No,Standardized,Retail,AAA,GBP,Cyprus,42,2023-03-20,0.75,775185.75,387592.875
249,710,Guarantee,Other OBS,202889,75%,0.75,Guarantee-Enhanced,Cash,442765,Corporate Guarantee,No,Standardized,Retail,A,USD,Cyprus,3,2021-03-19,0.75,152166.75,114125.0625
250,456,Securitization,Performance Guarantee,743221,50%,0.2,Collateralized,Securities,782955,Sovereign Guarantee,Yes,Standardized,Bank,BB,USD,UK,91,2024-11-25,0.5,371610.5,74322.1
251,411,Trade Finance,Undrawn Commitment,1636292,50%,0.2,Guarantee-Enhanced,Securities,11549,Corporate Guarantee,No,Internal Model,Sovereign,AA,USD,UK,3,2024-02-03,0.5,818146.0,163629.2
252,649,Trade Finance,Other OBS,225006,20%,0.5,Guarantee-Enhanced,Property,464432,Corporate Guarantee,Yes,Standardized,Bank,AA,EUR,Germany,28,2021-04-07,0.2,45001.200000000004,22500.600000000002
253,318,Commitment,Other OBS,1869491,75%,0.5,Unstructured,None,25739,Corporate Guarantee,Yes,Internal Model,Corporate,BB,USD,Germany,63,2024-10-19,0.75,1402118.25,701059.125
254,677,Securitization,Performance Guarantee,819727,20%,0.5,Guarantee-Enhanced,Property,807641,None,Yes,Standardized,Bank,CCC,EUR,Germany,81,2022-11-19,0.2,163945.40000000002,81972.70000000001
255,225,Derivative,Performance Guarantee,1239906,50%,1.0,Netting,Cash,631339,None,No,Standardized,Retail,BB,GBP,UK,31,2021-04-17,0.5,619953.0,619953.0
256,819,Guarantee,Other OBS,1156351,20%,0.5,Collateralized,None,15116,Sovereign Guarantee,Yes,Standardized,Sovereign,BB,EUR,Germany,10,2021-07-10,0.2,231270.2,115635.1
257,234,Commitment,Derivative Exposure,1835516,20%,1.0,Collateralized,None,544333,None,No,Standardized,Sovereign,BB,EUR,Greece,49,2020-03-20,0.2,367103.2,367103.2
258,684,Trade Finance,Other OBS,1366189,75%,0.2,Collateralized,None,943831,Sovereign Guarantee,No,Internal Model,Bank,CCC,USD,UK,86,2022-11-28,0.75,1024641.75,204928.35
259,664,Derivative,Performance Guarantee,340998,0%,0.75,Netting,None,35709,None,No,Internal Model,Bank,B,GBP,Greece,94,2020-08-27,0.0,0.0,0.0
260,975,Derivative,Undrawn Commitment,711616,75%,0.75,Netting,Property,830049,Sovereign Guarantee,No,Internal Model,Corporate,A,GBP,Germany,113,2021-07-10,0.75,533712.0,400284.0
261,827,Guarantee,Undrawn Commitment,1878022,50%,0.75,Netting,Securities,977643,None,No,Internal Model,Corporate,AA,USD,Cyprus,21,2021-08-12,0.5,939011.0,704258.25
262,374,Trade Finance,Derivative Exposure,126256,0%,0.75,Netting,Securities,682265,None,Yes,Standardized,Retail,BBB,GBP,Greece,100,2023-09-22,0.0,0.0,0.0
263,672,Securitization,Other OBS,1001441,50%,1.0,Netting,Cash,981652,Sovereign Guarantee,Yes,Standardized,Retail,AA,GBP,UK,53,2025-04-15,0.5,500720.5,500720.5
264,608,Derivative,Undrawn Commitment,1459854,0%,1.0,Guarantee-Enhanced,Securities,727963,Corporate Guarantee,Yes,Internal Model,Retail,AA,GBP,Greece,87,2025-02-27,0.0,0.0,0.0
265,472,Guarantee,Other OBS,1755587,20%,0.5,Netting,Securities,229167,Corporate Guarantee,Yes,Internal Model,Bank,CCC,USD,UK,102,2024-12-28,0.2,351117.4,175558.7
266,233,Securitization,Performance Guarantee,231360,75%,1.0,Netting,Securities,906211,None,Yes,Standardized,Bank,AAA,GBP,Germany,76,2025-05-29,0.75,173520.0,173520.0
267,692,Trade Finance,Undrawn Commitment,396874,0%,0.5,Netting,Securities,305063,Sovereign Guarantee,No,Standardized,Sovereign,BB,EUR,Greece,89,2023-07-27,0.0,0.0,0.0
268,113,Derivative,Derivative Exposure,468267,75%,0.5,Netting,Cash,869953,Corporate Guarantee,No,Internal Model,Retail,BB,EUR,Cyprus,54,2023-02-13,0.75,351200.25,175600.125
269,830,Securitization,Performance Guarantee,1388106,0%,0.75,Collateralized,Property,486121,Sovereign Guarantee,Yes,Internal Model,Bank,BB,GBP,Greece,57,2020-09-25,0.0,0.0,0.0
270,497,Securitization,Derivative Exposure,1341210,20%,1.0,Netting,None,219222,Corporate Guarantee,Yes,Internal Model,Sovereign,AAA,USD,Cyprus,20,2025-04-23,0.2,268242.0,268242.0
271,442,Securitization,Performance Guarantee,983688,75%,1.0,Guarantee-Enhanced,Securities,713806,Sovereign Guarantee,Yes,Standardized,Retail,CCC,USD,UK,113,2020-11-30,0.75,737766.0,737766.0
272,564,Derivative,Undrawn Commitment,83787,50%,0.5,Guarantee-Enhanced,Property,707788,None,No,Internal Model,Corporate,A,USD,Germany,49,2020-11-07,0.5,41893.5,20946.75
273,268,Derivative,Derivative Exposure,595909,20%,0.5,Guarantee-Enhanced,Securities,965398,Sovereign Guarantee,No,Internal Model,Corporate,A,GBP,Germany,106,2022-12-12,0.2,119181.8,59590.9
274,510,Commitment,Derivative Exposure,652272,50%,0.2,Unstructured,Securities,998653,Corporate Guarantee,No,Internal Model,Bank,CCC,GBP,Cyprus,7,2022-12-27,0.5,326136.0,65227.200000000004
275,807,Trade Finance,Performance Guarantee,1551584,20%,0.2,Collateralized,None,792879,None,Yes,Internal Model,Sovereign,BBB,EUR,UK,29,2021-11-24,0.2,310316.8,62063.36
276,386,Guarantee,Derivative Exposure,1537045,75%,0.5,Netting,None,529787,Sovereign Guarantee,Yes,Internal Model,Corporate,A,USD,Germany,48,2020-02-03,0.75,1152783.75,576391.875
277,387,Securitization,Performance Guarantee,1919059,50%,0.2,Unstructured,None,563329,Corporate Guarantee,Yes,Standardized,Sovereign,CCC,EUR,UK,93,2024-12-24,0.5,959529.5,191905.90000000002
278,113,Commitment,Performance Guarantee,361955,75%,0.2,Netting,Securities,293459,None,Yes,Internal Model,Sovereign,A,EUR,Cyprus,13,2025-01-15,0.75,271466.25,54293.25
279,613,Guarantee,Performance Guarantee,80447,100%,0.5,Unstructured,Securities,132371,Sovereign Guarantee,No,Standardized,Corporate,BB,USD,Cyprus,3,2021-01-20,1.0,80447.0,40223.5
280,625,Commitment,Performance Guarantee,178046,50%,0.5,Unstructured,Securities,382650,Corporate Guarantee,Yes,Internal Model,Sovereign,B,GBP,Greece,2,2020-09-05,0.5,89023.0,44511.5
